processorFamily,procesorName,cores,process,osName,osVersion
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Ksmss.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kcsrss.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kwininit.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kservices.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Klsass.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Ksvchost.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kfontdrvhost.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KWUDFHost.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Container.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kamdfendrsr.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Katiesrxx.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kmfemms.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KWmiPrvSE.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KMMSSHOST.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kmfevtps.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,KAsusOptimization.exe,Microsoft Windows 11 Home,10.0.22000
AMD64 Family 25 Model 80 Stepping 0,AMD Ryzen 9 5900HX with Radeon Graphics,8,Kspoolsv.exe,Microsoft Windows 11 Home,10.0.22000
